time_ns,time_iso,range_m,height_err_m,delta_m_per_s,zscore_delta,edge_flag
1760454798621293748,2025-10-14T15:13:18.621Z,0.015000,-0.485000,0.000000,0.000000,0
1760454798721505014,2025-10-14T15:13:18.721Z,0.040050,-0.459950,0.249972,0.000000,0
1760454798821369628,2025-10-14T15:13:18.821Z,0.071383,-0.428617,0.313760,0.000000,0
1760454798921321883,2025-10-14T15:13:18.921Z,0.106175,-0.393825,0.348086,0.000000,0
1760454799021143567,2025-10-14T15:13:19.021Z,0.142345,-0.357655,0.362337,0.000000,0
1760454799121262454,2025-10-14T15:13:19.121Z,0.178393,-0.321607,0.360052,0.626588,0
1760454799222821236,2025-10-14T15:13:19.222Z,0.213274,-0.286726,0.343465,0.466822,0
1760454799323007313,2025-10-14T15:13:19.323Z,0.246293,-0.253707,0.329577,0.337474,0
1760454799421927056,2025-10-14T15:13:19.422Z,0.277018,-0.222982,0.310601,0.172514,0
1760454799522734213,2025-10-14T15:13:19.522Z,0.305215,-0.194785,0.279709,-0.093136,0
1760454799622110045,2025-10-14T15:13:19.622Z,0.330796,-0.169204,0.257419,-0.285955,0
1760454799721376506,2025-10-14T15:13:19.721Z,0.353779,-0.146221,0.231528,-0.510325,0
1760454799821247308,2025-10-14T15:13:19.821Z,0.374254,-0.125746,0.205012,-0.731134,0
1760454799921186174,2025-10-14T15:13:19.921Z,0.392358,-0.107642,0.181158,-0.910237,0
1760454800021145704,2025-10-14T15:13:20.021Z,0.408261,-0.091739,0.159090,-1.054030,0
1760454800121244658,2025-10-14T15:13:20.121Z,0.422145,-0.077855,0.138702,-1.164648,0
1760454800221372030,2025-10-14T15:13:20.221Z,0.434199,-0.065801,0.120391,-1.242251,0
1760454800322503593,2025-10-14T15:13:20.322Z,0.444611,-0.055389,0.102956,-1.301836,0
1760454800422451276,2025-10-14T15:13:20.422Z,0.453561,-0.046439,0.089548,-1.321259,0
1760454800522504421,2025-10-14T15:13:20.522Z,0.461220,-0.038780,0.076542,-1.336874,0
1760454800622098084,2025-10-14T15:13:20.622Z,0.467744,-0.032256,0.065508,-1.555756,0
1760454800721201118,2025-10-14T15:13:20.721Z,0.473278,-0.026722,0.055847,-1.462408,0
1760454800821374072,2025-10-14T15:13:20.821Z,0.477954,-0.022046,0.046678,-1.377555,0
1760454800921249157,2025-10-14T15:13:20.921Z,0.481889,-0.018111,0.039394,-1.302953,0
1760454801021299780,2025-10-14T15:13:21.021Z,0.485186,-0.014814,0.032958,-1.245369,0
1760454801121451434,2025-10-14T15:13:21.121Z,0.487939,-0.012061,0.027485,-1.198464,0
1760454801221109959,2025-10-14T15:13:21.221Z,0.490228,-0.009772,0.022965,-1.155113,0
1760454801321481605,2025-10-14T15:13:21.321Z,0.492123,-0.007877,0.018882,-1.123153,0
1760454801421030261,2025-10-14T15:13:21.421Z,0.493686,-0.006314,0.015701,-1.096619,0
1760454801521013884,2025-10-14T15:13:21.521Z,0.494969,-0.005031,0.012837,-1.071011,0
1760454801621117654,2025-10-14T15:13:21.621Z,0.496019,-0.003981,0.010483,-1.051212,0
1760454801721138098,2025-10-14T15:13:21.721Z,0.496873,-0.003127,0.008538,-1.034268,0
1760454801821243773,2025-10-14T15:13:21.821Z,0.497564,-0.002436,0.006909,-1.018117,0
1760454801921385670,2025-10-14T15:13:21.921Z,0.498122,-0.001878,0.005564,-1.003349,0
1760454802021371839,2025-10-14T15:13:22.021Z,0.498568,-0.001432,0.004465,-0.989710,0
1760454802121291183,2025-10-14T15:13:22.121Z,0.498923,-0.001077,0.003557,-0.976950,0
1760454802221237418,2025-10-14T15:13:22.221Z,0.499205,-0.000795,0.002812,-0.965097,0
1760454802321234715,2025-10-14T15:13:22.321Z,0.499425,-0.000575,0.002206,-0.950374,0
1760454802422358064,2025-10-14T15:13:22.422Z,0.499597,-0.000403,0.001698,-0.939334,0
1760454802522552787,2025-10-14T15:13:22.522Z,0.499729,-0.000271,0.001320,-0.926547,0
1760454802621011144,2025-10-14T15:13:22.621Z,0.499830,-0.000170,0.001023,-0.914904,0
1760454802721232533,2025-10-14T15:13:22.721Z,0.499905,-0.000095,0.000754,-0.907630,0
1760454802821575204,2025-10-14T15:13:22.821Z,0.499961,-0.000039,0.000556,-0.896785,0
1760454802921323148,2025-10-14T15:13:22.921Z,0.500001,0.000001,0.000403,-0.886466,0
1760454803021068362,2025-10-14T15:13:23.021Z,0.500030,0.000030,0.000281,-0.875959,0
