time_ns,time_iso,range_m,height_err_m,delta_m_per_s,zscore_delta,edge_flag
1760812833997498567,2025-10-18T18:40:33.997Z,0.601000,0.101000,0.000000,0.000000,0
1760812834097741024,2025-10-18T18:40:34.097Z,0.595000,0.095000,-0.059855,0.000000,0
1760812834196299999,2025-10-18T18:40:34.196Z,0.568000,0.068000,-0.273948,0.000000,0
1760812834295852277,2025-10-18T18:40:34.295Z,0.531000,0.031000,-0.371664,0.000000,0
1760812834394962450,2025-10-18T18:40:34.395Z,0.513000,0.013000,-0.181616,0.000000,0
1760812834494692200,2025-10-18T18:40:34.494Z,0.500000,0.000000,-0.130352,0.285721,0
1760812834595657799,2025-10-18T18:40:34.595Z,0.510000,0.010000,0.099044,1.427637,0
1760812834694379652,2025-10-18T18:40:34.694Z,0.521000,0.021000,0.111425,1.232854,0
1760812834795031578,2025-10-18T18:40:34.795Z,0.527000,0.027000,0.059611,0.840470,0
1760812834895269860,2025-10-18T18:40:34.895Z,0.535000,0.035000,0.079810,0.871875,0
1760812834994888089,2025-10-18T18:40:34.994Z,0.536000,0.036000,0.010038,0.433213,0
1760812835094703253,2025-10-18T18:40:35.094Z,0.546000,0.046000,0.100185,0.913930,0
1760812835194463557,2025-10-18T18:40:35.194Z,0.537000,0.037000,-0.090216,-0.262227,0
1760812835295065700,2025-10-18T18:40:35.295Z,0.539000,0.039000,0.019880,0.433708,0
1760812835395842054,2025-10-18T18:40:35.395Z,0.538000,0.038000,-0.009923,0.226169,0
1760812835495628791,2025-10-18T18:40:35.495Z,0.542000,0.042000,0.040086,0.550308,0
1760812835594532214,2025-10-18T18:40:35.594Z,0.543000,0.043000,0.010111,0.326676,0
1760812835695116651,2025-10-18T18:40:35.695Z,0.542000,0.042000,-0.009942,0.175071,0
1760812835794523384,2025-10-18T18:40:35.794Z,0.540000,0.040000,-0.020119,0.095911,0
1760812835893669140,2025-10-18T18:40:35.893Z,0.542000,0.042000,0.020172,0.396585,0
1760812835993977231,2025-10-18T18:40:35.994Z,0.536000,0.036000,-0.059816,-0.213756,0
1760812836094788335,2025-10-18T18:40:36.094Z,0.538000,0.038000,0.019839,0.385077,0
1760812836194422575,2025-10-18T18:40:36.194Z,0.536000,0.036000,-0.020073,-0.034618,0
1760812836295657521,2025-10-18T18:40:36.295Z,0.534000,0.034000,-0.019756,-0.280558,0
1760812836394701875,2025-10-18T18:40:36.394Z,0.529000,0.029000,-0.050482,-0.920856,0
1760812836496249231,2025-10-18T18:40:36.496Z,0.534000,0.034000,0.049238,0.586695,0
1760812836595388626,2025-10-18T18:40:36.595Z,0.530000,0.030000,-0.040347,-0.952107,0
1760812836696682795,2025-10-18T18:40:36.696Z,0.529000,0.029000,-0.009872,-0.291749,0
1760812836794496113,2025-10-18T18:40:36.794Z,0.525000,0.025000,-0.040894,-0.857921,0
1760812836894399040,2025-10-18T18:40:36.894Z,0.523000,0.023000,-0.020019,-0.328264,0
1760812836993847878,2025-10-18T18:40:36.993Z,0.523000,0.023000,0.000000,0.156065,0
1760812837094672013,2025-10-18T18:40:37.094Z,0.521000,0.021000,-0.019836,-0.212664,0
1760812837194132203,2025-10-18T18:40:37.194Z,0.525000,0.025000,0.040217,1.507330,0
1760812837293760963,2025-10-18T18:40:37.293Z,0.522000,0.022000,-0.030111,-0.705548,0
