time_ns,time_iso,range_m,height_err_m,delta_m_per_s,zscore_delta,edge_flag
1760805524395493368,2025-10-18T16:38:44.395Z,0.516000,0.216000,0.000000,0.000000,0
1760805524532422780,2025-10-18T16:38:44.532Z,0.536000,0.236000,0.146059,0.000000,0
1760805524630445914,2025-10-18T16:38:44.630Z,0.547000,0.247000,0.112218,-0.707107,0
1760805524728931218,2025-10-18T16:38:44.728Z,0.554000,0.254000,0.071083,-1.030800,0
1760805524831028825,2025-10-18T16:38:44.831Z,0.557000,0.257000,0.029381,-1.192771,0
1760805524928706837,2025-10-18T16:38:44.928Z,0.556000,0.256000,-0.010239,-1.277750,0
1760805525031090246,2025-10-18T16:38:45.031Z,0.559000,0.259000,0.029299,-0.577114,0
1760805525128698818,2025-10-18T16:38:45.128Z,0.558000,0.258000,-0.010246,-1.045632,0
1760805525226274538,2025-10-18T16:38:45.226Z,0.554000,0.254000,-0.040990,-1.265381,0
1760805525325589810,2025-10-18T16:38:45.325Z,0.553000,0.253000,-0.010069,-0.720185,0
1760805525428275058,2025-10-18T16:38:45.428Z,0.552000,0.252000,-0.009739,-0.663648,0
1760805525527392315,2025-10-18T16:38:45.527Z,0.552000,0.252000,0.000000,-0.476634,0
1760805525625351964,2025-10-18T16:38:45.625Z,0.549000,0.249000,-0.030625,-0.929585,0
1760805525725422472,2025-10-18T16:38:45.725Z,0.550000,0.250000,0.009993,0.238018,0
1760805525826888177,2025-10-18T16:38:45.826Z,0.546000,0.246000,-0.039420,-1.327295,0
1760805525936267805,2025-10-18T16:38:45.936Z,0.545000,0.245000,-0.009142,0.089441,0
1760805526040668364,2025-10-18T16:38:46.040Z,0.545000,0.245000,0.000000,0.811167,0
1760805526150586894,2025-10-18T16:38:46.150Z,0.546000,0.246000,0.009097,1.128390,0
1760805526255168297,2025-10-18T16:38:46.255Z,0.538000,0.238000,-0.076493,-2.289261,0
1760805526361755711,2025-10-18T16:38:46.361Z,0.538000,0.238000,0.000000,0.541881,0
1760805526473219734,2025-10-18T16:38:46.473Z,0.536000,0.236000,-0.017943,-0.092340,0
1760805526581910837,2025-10-18T16:38:46.581Z,0.536000,0.236000,0.000000,0.573124,0
1760805526636305175,2025-10-18T16:38:46.636Z,0.535000,0.235000,-0.018382,-0.156887,0
1760805526740310234,2025-10-18T16:38:46.740Z,0.537000,0.237000,0.019228,1.180932,0
1760805526844857390,2025-10-18T16:38:46.844Z,0.535000,0.235000,-0.019131,-0.300686,0
1760805526950639491,2025-10-18T16:38:46.950Z,0.526000,0.226000,-0.085074,-1.893137,0
1760805527049245815,2025-10-18T16:38:47.049Z,0.528000,0.228000,0.020281,1.010683,0
1760805527150645432,2025-10-18T16:38:47.150Z,0.528000,0.228000,0.000000,0.491401,0
1760805527248031988,2025-10-18T16:38:47.248Z,0.523000,0.223000,-0.051334,-0.854348,0
1760805527344356695,2025-10-18T16:38:47.344Z,0.527000,0.227000,0.041529,1.472142,0
1760805527442071087,2025-10-18T16:38:47.442Z,0.526000,0.226000,-0.010234,0.022104,0
1760805527543414584,2025-10-18T16:38:47.543Z,0.527000,0.227000,0.009867,0.518986,0
1760805527650670389,2025-10-18T16:38:47.650Z,0.527000,0.227000,0.000000,0.201813,0
1760805527761656386,2025-10-18T16:38:47.761Z,0.525000,0.225000,-0.018022,-0.189337,0
1760805527875608388,2025-10-18T16:38:47.875Z,0.520000,0.220000,-0.043870,-0.807118,0
1760805527927542678,2025-10-18T16:38:47.927Z,0.526000,0.226000,0.115529,2.229275,0
