time_ns,time_iso,range_m,height_err_m,delta_m_per_s,zscore_delta,edge_flag
1760375218685846827,2025-10-13T17:06:58.685Z,0.537000,0.237000,0.000000,0.000000,0
1760375218788590566,2025-10-13T17:06:58.788Z,0.583000,0.283000,0.447723,0.000000,0
1760375218879041607,2025-10-13T17:06:58.879Z,0.594000,0.294000,0.121620,-0.707107,0
1760375218983309604,2025-10-13T17:06:58.983Z,0.581000,0.281000,-0.124675,-0.950450,0
1760375219082366216,2025-10-13T17:06:59.082Z,0.544000,0.244000,-0.373527,-1.115688,0
1760375219189848480,2025-10-13T17:06:59.189Z,0.501000,0.201000,-0.400061,-0.937336,0
1760375219281634547,2025-10-13T17:06:59.281Z,0.484000,0.184000,-0.185214,-0.308432,0
1760375219381703108,2025-10-13T17:06:59.381Z,0.503000,0.203000,0.189870,0.755976,0
1760375219484622683,2025-10-13T17:06:59.484Z,0.549000,0.249000,0.446981,1.277909,0
1760375219585554554,2025-10-13T17:06:59.585Z,0.580000,0.280000,0.307126,0.784559,0
1760375219683782038,2025-10-13T17:06:59.683Z,0.589000,0.289000,0.091623,0.126531,0
1760375219783462416,2025-10-13T17:06:59.783Z,0.581000,0.281000,-0.080258,-0.403026,0
1760375219885078841,2025-10-13T17:06:59.885Z,0.553000,0.253000,-0.275557,-0.812519,0
1760375219982279069,2025-10-13T17:06:59.982Z,0.520000,0.220000,-0.339481,-0.940796,0
1760375220085480741,2025-10-13T17:07:00.085Z,0.498000,0.198000,-0.213183,-0.577857,0
1760375220180904277,2025-10-13T17:07:00.180Z,0.489000,0.189000,-0.094318,-0.160246,0
1760375220279876933,2025-10-13T17:07:00.279Z,0.498000,0.198000,0.090929,0.383700,0
1760375220379553976,2025-10-13T17:07:00.379Z,0.526000,0.226000,0.280954,0.948368,0
1760375220479586533,2025-10-13T17:07:00.479Z,0.548000,0.248000,0.219896,0.695378,0
1760375220579921072,2025-10-13T17:07:00.579Z,0.559000,0.259000,0.109667,0.450214,0
1760375220679539821,2025-10-13T17:07:00.679Z,0.556000,0.256000,-0.030106,-0.041326,0
1760375220780997965,2025-10-13T17:07:00.781Z,0.541000,0.241000,-0.147848,-0.520444,0
1760375220880668121,2025-10-13T17:07:00.880Z,0.528000,0.228000,-0.130427,-0.407713,0
1760375220980576213,2025-10-13T17:07:00.980Z,0.517000,0.217000,-0.110105,-0.407574,0
1760375221084029652,2025-10-13T17:07:01.084Z,0.509000,0.209000,-0.077327,-0.423055,0
1760375221183617647,2025-10-13T17:07:01.183Z,0.513000,0.213000,0.040167,0.104290,0
1760375221266146550,2025-10-13T17:07:01.266Z,0.524000,0.224000,0.133276,0.679020,0
1760375221381287465,2025-10-13T17:07:01.381Z,0.526000,0.226000,0.017371,0.120497,0
1760375221482504603,2025-10-13T17:07:01.482Z,0.527000,0.227000,0.009880,0.290376,0
1760375221581217329,2025-10-13T17:07:01.581Z,0.526000,0.226000,-0.010130,0.233878,0
1760375221682667352,2025-10-13T17:07:01.682Z,0.526000,0.226000,0.000000,0.313599,0
1760375221782166321,2025-10-13T17:07:01.782Z,0.523000,0.223000,-0.030151,-0.186995,0
1760375221882082390,2025-10-13T17:07:01.882Z,0.522000,0.222000,-0.010008,-0.095968,0
1760375221981470210,2025-10-13T17:07:01.981Z,0.524000,0.224000,0.020124,0.199472,0
1760375222080844798,2025-10-13T17:07:02.080Z,0.523000,0.223000,-0.010062,-0.340715,0
1760375222181017058,2025-10-13T17:07:02.181Z,0.524000,0.224000,0.009983,-0.126959,0
1760375222281214538,2025-10-13T17:07:02.281Z,0.522000,0.222000,-0.019963,-1.067961,0
1760375222381508420,2025-10-13T17:07:02.381Z,0.526000,0.226000,0.039878,1.941852,0
1760375222480924127,2025-10-13T17:07:02.480Z,0.521000,0.221000,-0.050294,-1.849626,0
1760375222582893596,2025-10-13T17:07:02.582Z,0.530000,0.230000,0.088265,2.159076,0
1760375222684893997,2025-10-13T17:07:02.684Z,0.524000,0.224000,-0.058821,-1.292135,0
1760375222785640313,2025-10-13T17:07:02.785Z,0.523000,0.223000,-0.009926,-0.229388,0
